block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,ok,error
14683600,660,30021734,sequential,1,0,15.267494,43229.09837069528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,sequential,1,1,14.406208,45813.582588839476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,sequential,1,2,14.14634,46655.17724019075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,1,0,18.445619999999998,35780.852039671205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,1,1,18.846074,35020.55653607218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,1,2,17.659938,37372.72463810462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,2,0,11.108158999999999,59415.78618023023,15,0.022727272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,2,1,12.54719,52601.419122528634,27,0.04090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,2,2,11.603527000000001,56879.25748783107,25,0.03787878787878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,4,0,8.054193,81944.89503790138,40,0.06060606060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,4,1,8.438792000000001,78210.24620585504,44,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,4,2,7.854653,84026.6272743048,44,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,8,0,7.220873,91401.6906266043,98,0.1484848484848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,8,1,7.4996350000000005,88004.28287509992,74,0.11212121212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,8,2,7.861283,83955.76141960542,74,0.11212121212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,1,0,18.294166,36077.07506316494,0,0,0,313,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,1,1,20.331789999999998,32461.480273010886,0,0,0,313,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,1,2,17.908371,36854.27334513005,0,0,0,313,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,2,0,11.670602,56552.35265498729,3,0.004545454545454545,139,316,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,2,1,11.196385999999999,58947.592553525756,5,0.007575757575757576,145,317,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,2,2,10.860237,60772.154419834485,4,0.006060606060606061,153,317,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,4,0,7.929099,83237.70456138837,13,0.019696969696969695,216,322,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,4,1,7.13625,92485.54913294797,11,0.016666666666666666,207,321,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,4,2,9.298608999999999,70978.35816088192,7,0.010606060606060607,177,318,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,8,0,8.039644000000001,82093.18721077699,20,0.030303030303030304,218,325,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,8,1,10.661355,61905.82716737225,9,0.013636363636363636,201,317,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,pcc,8,2,7.533598,87607.54157575172,18,0.02727272727272727,285,325,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,specfence,1,0,33.137285000000006,19917.14167289203,0,0,0,450,106,0,0,420,5284,106,4150,106,0.3076923076923069,0,350,3544,0,0,0,0,0,0,0,true,
14683600,660,30021734,specfence,1,1,30.797559,21430.269847035604,0,0,0,450,106,0,0,420,5284,106,4150,106,0.3076923076923069,0,350,3544,0,0,0,0,0,0,0,true,
14683600,660,30021734,specfence,1,2,33.14547,19912.22329929248,0,0,0,450,106,0,0,420,5284,106,4150,106,0.3076923076923069,0,350,3544,0,0,0,0,0,0,0,true,
