block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,cost_chose_wait,cost_chose_spec,cost_chose_bind,mean_p_at_wait,mean_p_at_spec,evm_entries,resume_count,rebind_only,rewind_to_cp,full_restart,tx_head_reexec,absolute_jump_applied,absolute_jump_fallback,prior_bind_hits,prior_bind_miss,journal_ff_entries,journal_ff_hits,prefix_opcodes_skipped,ready_steal_on_wait,lean_mode_txs,full_mode_txs,engagement_switches,hot_local_reads,hotset_size,inspector_steps,inspector_steps_resume,ok,error
14683600,660,30021734,occ,1,2,17.062021,38682.40462252391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,2,0,12.242747999999999,53909.46542393914,20,0.030303030303030304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,2,1,13.915511,47429.08830297356,20,0.030303030303030304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,2,2,11.204680999999999,58903.9527318984,20,0.030303030303030304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,4,0,7.889623,83654.18727865705,50,0.07575757575757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,4,1,7.785307,84775.07694943821,50,0.07575757575757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,4,2,6.915685000000001,95435.23165094998,54,0.08181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,8,0,6.58974,100155.69658286973,69,0.10454545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,8,1,6.38453,103374.8764591912,84,0.12727272727272726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,8,2,6.498692999999999,101558.8826861032,67,0.10151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,specfence,1,0,46.548279,14178.8271055091,0,0,0,538,106,0,0,237,2,106,4150,106,0.3076923076923069,171,0,3723,0,0,0,0,0,0,0,0,0,171,0.3076923076923069,0,660,0,0,0,0,0,0,0,171,0,0,0,0,0,660,0,0,171,12,0,0,true,
14683600,660,30021734,specfence,1,1,42.450838999999995,15547.395894813764,0,0,0,538,106,0,0,237,2,106,4150,106,0.3076923076923069,171,0,3723,0,0,0,0,0,0,0,0,0,171,0.3076923076923069,0,660,0,0,0,0,0,0,0,171,0,0,0,0,0,660,0,0,171,12,0,0,true,
14683600,660,30021734,specfence,1,2,44.907586,14696.848768490918,0,0,0,538,106,0,0,237,2,106,4150,106,0.3076923076923069,171,0,3723,0,0,0,0,0,0,0,0,0,171,0.3076923076923069,0,660,0,0,0,0,0,0,0,171,0,0,0,0,0,660,0,0,171,12,0,0,true,
