block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,ok,error
13217637,1100,29985362,specfence,2,1,15.668004,70206.77298780368,1,0.0009090909090909091,880,136,40,0,1098,2811,5689,37,14854,40,0.3076923076922955,0,979,2339,1,1,4,7,0,True,
13217637,1100,29985362,specfence,2,2,15.583005,70589.72258559887,2,0.0018181818181818182,875,138,41,0,2194,2803,5720,38,14192,41,0.3076923076922956,5,983,2366,2,2,5,7,0,True,
13217637,1100,29985362,specfence,4,0,16.038962,68582.99184199078,4,0.0036363636363636364,938,139,44,0,3289,2868,5835,43,16467,44,0.3076923076922949,1,981,2416,4,4,10,11,0,True,
13217637,1100,29985362,specfence,4,1,15.566761,70663.38334609235,4,0.0036363636363636364,940,138,44,0,3289,2875,5831,43,13732,44,0.30769230769229483,1,982,2416,4,4,10,11,0,True,
13217637,1100,29985362,specfence,4,2,16.424597,66972.7238969699,4,0.0036363636363636364,943,136,44,0,3289,2880,5872,43,16622,44,0.3076923076922948,1,982,2454,4,4,10,11,0,True,
13217637,1100,29985362,specfence,8,0,16.581568,66338.72019823456,9,0.008181818181818182,950,137,44,28,4477,2894,5884,48,19837,44,0.3555195668188161,1,991,2450,9,9,15,11,0,True,
13217637,1100,29985362,specfence,8,1,16.034567,68601.7901200575,5,0.004545454545454545,938,136,44,0,4355,2877,5889,44,21734,44,0.35538965726662125,1,984,2460,5,5,11,11,0,True,
13217637,1100,29985362,specfence,8,2,15.635718,70351.7420818155,5,0.004545454545454545,939,139,44,27,3288,2867,5863,44,22028,44,0.3076923076922949,1,983,2425,5,5,11,11,0,True,
14383540,722,30059751,sequential,1,0,12.686734,56909.83983742388,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,sequential,1,1,10.823426000000001,66707.1590825308,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,sequential,1,2,13.545986,53299.92220573682,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,1,0,13.424533,53782.13156465107,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,1,1,14.184980999999999,50898.90497562175,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,1,2,13.740463,52545.5364932026,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,2,0,8.457631000000001,85366.69429063528,5,0.006925207756232687,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,2,1,7.879605,91628.95855820185,6,0.008310249307479225,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,2,2,8.765235,82370.86626884504,3,0.004155124653739612,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
